color,constituency,groups,id,party,partywon,pcid,states,vote_count_num,votecount,winner,winner_2014_bangali
#6e8d92,Bhadrak,Others,9,Biju Janata Dal,9,#PC284,Odisha,2948,Leading,Manjulata Mandal,Arjun Charan Sethi (BJD)
#f49921,Bhubaneswar,NDA,8,Bharatiya Janata Party,8,#PC295,Odisha,8603,Leading,Smt. Aparajita Sarangi,Prasanna Kumar Patasani (BJD)
#f49921,Bolangir,NDA,8,Bharatiya Janata Party,8,#PC287,Odisha,2444,Leading,Shri Sangeeta Kumari Singh Deo,Kalikesh Narayan Singh Deo (BJD)
#6e8d92,Cuttack,Others,9,Biju Janata Dal,9,#PC291,Odisha,2001,Leading,Bhartruhari Mahtab,Bhartruhari Mahatab (BJD)
#6e8d92,Dhenkanal,Others,9,Biju Janata Dal,9,#PC286,Odisha,2561,Leading,Mahesh Sahu,Tathagata Satpathy (BJD)
#6e8d92,Jagatsinghpur,Others,9,Biju Janata Dal,9,#PC293,Odisha,8464,Leading,Dr. Rajshree Malik,Kulamani Samal (BJD)
#6e8d92,Jajpur,Others,9,Biju Janata Dal,9,#PC285,Odisha,18459,Leading,Sarmishtha Sethi,Rita Tarai (BJD)
#f49921,Kalahandi,NDA,8,Bharatiya Janata Party,8,#PC288,Odisha,4261,Leading,Basanta Kumar Panda,Arka Keshari Deo (BJD)
#6e8d92,Kandhamal,Others,9,Biju Janata Dal,9,#PC290,Odisha,10397,Leading,ACHYUTANANDA SAMANTA,Hemendra Chandra Singh (BJD)
#6e8d92,Kendrapara,Others,9,Biju Janata Dal,9,#PC292,Odisha,1312,Leading,Anubhav Mohanty,Baijayant Panda (BJD)
#6e8d92,Keonjhar,Others,9,Biju Janata Dal,9,#PC281,Odisha,1303,Leading,Chandrani Murmu,Sakuntala Laguri (BJD)
#6e8d92,Koraput,Others,9,Biju Janata Dal,9,#PC298,Odisha,4497,Leading,Kaushalya Hikaka,Jhina Hikaka (BJD)
#f49921,Mayurbhanj,NDA,8,Bharatiya Janata Party,8,#PC282,Odisha,1341,Leading,Er Biswesar Tudu,Rama Chandra Hansdah (BJD)
#6e8d92,Nabarangpur,Others,9,Biju Janata Dal,9,#PC289,Odisha,7586,Leading,Ramesh Manjhi,Balabhadra Majhi (BJD)
#f49921,Puri,NDA,8,Bharatiya Janata Party,8,#PC294,Odisha,2451,Leading,Dr. Sambit Patra,Pinaki Misra (BJD)
#f49921,Sambalpur,NDA,8,Bharatiya Janata Party,8,#PC280,Odisha,765,Leading,Shri Nitesh Ganga Deb,Nagendra Kumar Pradhan (BJD)
#f49921,Sundargarh,NDA,8,Bharatiya Janata Party,8,#PC279,Odisha,5290,Leading,Shri Jual Oram,Jual @ Juel Oram (BJP)
#4099CF,Puducherry,UPA,13,Indian National Congress,13,#PC543,Puducherry,10447,Leading,V. Vaithilingam,R. Radhakrishnan (AINRC)
#4099CF,Amritsar,UPA,13,Indian National Congress,13,#PC300,Punjab,445032,Won,Gurjit Singh Aujla,Captain Amarinder Singh (INC)
#4099CF,Anandpur Sahib,UPA,13,Indian National Congress,13,#PC304,Punjab,428045,Won,Manish Tewari,Prem Singh Chandumajra (SAD)
#24244f,Bathinda,NDA,29,Shiromani Akali Dal,29,#PC309,Punjab,492824,Won,Harsimrat Kaur Badal,Harsimrat Kaur Badal (SAD)
#4099CF,Faridkot,UPA,13,Indian National Congress,13,#PC307,Punjab,419065,Won,Mohd. Sadique,Prof. Sadhu Singh (AAAP)
#4099CF,Fatehgarh Sahib,UPA,13,Indian National Congress,13,#PC306,Punjab,411651,Won,Dr. Amar Singh,Harinder Singh Khalsa (AAAP)
#24244f,Firozpur,NDA,29,Shiromani Akali Dal,29,#PC308,Punjab,633427,Won,Sukhbir Singh Badal,Sher Singh Ghubaya (SAD)
#f49921,Gurdaspur,NDA,8,Bharatiya Janata Party,8,#PC299,Punjab,558719,Won,Sunny Deol,Vinod Khanna (BJP)
#f49921,Hoshiarpur,NDA,8,Bharatiya Janata Party,8,#PC303,Punjab,421320,Won,Sh. Som Prakash,Vijay Sampla (BJP)
#4099CF,Jalandhar,UPA,13,Indian National Congress,13,#PC302,Punjab,385712,Won,Santokh Singh Shaudhary,Santokh Singh Chaudhary (INC)
#4099CF,Khadoor Sahib,UPA,13,Indian National Congress,13,#PC301,Punjab,459710,Won,Jasbir Singh Gill (Dimpa),Ranjit Singh Brahmpura (SAD)
#4099CF,Ludhiana,UPA,13,Indian National Congress,13,#PC305,Punjab,383795,Won,Ravneet Singh Bittu,Ravneet Singh Bittu (INC)
#4099CF,Patiala,UPA,13,Indian National Congress,13,#PC311,Punjab,532027,Won,Preneet Kaur,Dr. Dharam Vira Gandhi (AAAP)
#ff0d86,Sangrur,Others,1,Aam Aadmi Party,1,#PC310,Punjab,413561,Won,Bhagwant Mann,Bhagwant Mann (AAAP)
#f49921,Ajmer,NDA,8,Bharatiya Janata Party,8,#PC324,Rajasthan,815076,Won,Shri Bhagirath Chaudhary,Sanwar Lal Jat  (BJP)
#f49921,Alwar,NDA,8,Bharatiya Janata Party,8,#PC319,Rajasthan,760201,Won,Shri Balak Nath,Chand Nath (BJP)
#f49921,Banswara,NDA,8,Bharatiya Janata Party,8,#PC331,Rajasthan,711709,Won,Shri Kanak Mal Katara,Manshankar Ninama  (BJP)
#f49921,Barmer,NDA,8,Bharatiya Janata Party,8,#PC328,Rajasthan,846526,Won,Shri Kailash Chaudhry,Col. Sona Ram (BJP)
#f49921,Bharatpur,NDA,8,Bharatiya Janata Party,8,#PC320,Rajasthan,707992,Won,Smt Ranjeeta Kohli,Bahadur Singh Koli (BJP)
#f49921,Bhilwara,NDA,8,Bharatiya Janata Party,8,#PC334,Rajasthan,938160,Won,Shri Subhash Chandra Baheria,Subhash Baheria (BJP)
#f49921,Bikaner,NDA,8,Bharatiya Janata Party,8,#PC313,Rajasthan,657743,Won,Shri Arjun Ram Meghwal,Arjun Ram Meghwal  (BJP)
#f49921,Chittorgarh,NDA,8,Bharatiya Janata Party,8,#PC332,Rajasthan,982942,Won,Shri C. P. Joshi,Chandra Prakash Joshi (BJP)
#f49921,Churu,NDA,8,Bharatiya Janata Party,8,#PC314,Rajasthan,792999,Won,"Shri Rahul Kaswan, MP",Rahul Kaswan  (BJP)
#f49921,Dausa,NDA,8,Bharatiya Janata Party,8,#PC322,Rajasthan,548733,Won,Jas Kaur Meena,Harish Chandra Meena  (BJP)
#f49921,Ganganagar,NDA,8,Bharatiya Janata Party,8,#PC312,Rajasthan,897177,Won,Shri Nihal Chand Chauhan,Nihalchand (BJP)
#f49921,Jaipur,NDA,8,Bharatiya Janata Party,8,#PC318,Rajasthan,924065,Won,Shri Ramcharan Bohra,Ramcharan Bohara (BJP)
#f49921,Jaipur Rural,NDA,8,Bharatiya Janata Party,8,#PC317,Rajasthan,820132,Won,Col. Rajyavardhan Singh Rathore,Rajyavardhan Singh Rathore  (BJP)
#f49921,Jalore,NDA,8,Bharatiya Janata Party,8,#PC329,Rajasthan,772833,Won,Shri Devji Mansingram Patel,Devji Patel  (BJP)
#f49921,Jhalawar-Baran,NDA,8,Bharatiya Janata Party,8,#PC336,Rajasthan,887400,Won,Shri Dushyant Singh,Dushyant Singh (BJP)
#f49921,Jhunjhunu,NDA,8,Bharatiya Janata Party,8,#PC315,Rajasthan,738163,Won,Shri Narendra Khinchal,Santosh Ahlawat (BJP)
#f49921,Jodhpur,NDA,8,Bharatiya Janata Party,8,#PC327,Rajasthan,788888,Won,Shri Gajendra Singh Shekhawat,Gajendrasingh Shekhawat  (BJP)
#f49921,Karauli-Dholpur,NDA,8,Bharatiya Janata Party,8,#PC321,Rajasthan,526443,Won,Shri Manoj Rajuriya,Manoj Rajoriya (BJP)
#f49921,Kota,NDA,8,Bharatiya Janata Party,8,#PC335,Rajasthan,800051,Won,Shri Om Birla,Om Birla  (BJP)
#9ACD32,Nagaur,Others,46,Rashtriya Loktantrik Party,46,#PC325,Rajasthan,660051,Won,Hanuman Beniwal,C R Choudhary (BJP)
#f49921,Pali,NDA,8,Bharatiya Janata Party,8,#PC326,Rajasthan,900149,Won,Shri P P Chaudhary,P P Chaudhary (BJP)
#f49921,Rajsamand,NDA,8,Bharatiya Janata Party,8,#PC333,Rajasthan,863039,Won,Smt Diya Kumari,Hariom Singh Rathore (BJP)
#f49921,Sikar,NDA,8,Bharatiya Janata Party,8,#PC316,Rajasthan,772104,Won,Shri Sumedhanand Saraswati,Sumedhanand Saraswati  (BJP)
